day,mean_nav,p5_nav,p95_nav
107,594.3474741013019,504.57875356779346,695.6022633998374
108,594.7689287879733,506.06383126993785,699.4017900104633
109,595.1566433092546,504.79016137221083,699.5430817594735
110,595.4345654153041,504.7802472018955,698.1162708848555
111,595.3187004676855,503.55476337433737,698.1860465453691
112,595.5153943530293,503.00214825539655,699.1772684555406
113,595.6171820297442,502.682859657079,702.0583516055088
114,595.4867437052618,502.33095017081155,703.1984450436184
115,595.484662875272,503.64384899713644,704.0735846819589
116,595.4423959632686,503.02748578926986,704.313883080858
117,595.6836968977409,503.1262458594006,703.4657792981188
118,595.7922791849741,501.81065602586006,704.6946835482881
119,595.5499131654798,502.70920094740666,704.1594086971303
120,595.8051917154241,501.44895701987593,699.6895111097947
121,596.0696826963238,500.7673777437417,703.1715285497273
122,596.1123325581857,499.943006806896,702.0825340087947
123,596.2269924808572,500.3053999199266,703.5315186743151
124,596.3843364995665,500.4234977355529,703.8754728224544
125,596.5258563573914,500.4184790127964,704.5609772369434
126,596.646825187184,499.62397436331554,708.1645553590956
127,596.6276500646408,498.8452249830835,707.1064987193029
128,596.9338630903724,498.92795644130007,708.6348322887189
129,596.8878624118067,499.7353974213598,707.6996268931931
130,596.8956673459263,501.06495784871146,709.5369341449267
131,597.1700308419477,501.14034983961966,710.0375730121752
132,597.3490600455691,499.35821393623024,713.0297520120952
133,597.859389002877,499.18655243798673,711.2022850709737
134,597.9197275351098,498.13023827853993,714.841017964232
135,598.2135022721292,498.03313196271773,717.832854605289
136,598.0356534617771,496.55062076793536,718.6678713283178
137,598.0281347255288,497.1082670521172,714.2430439411913
138,597.9833696033899,496.2981565482083,717.6770097264198
139,597.4428362146336,494.9160955517456,713.9128596698736
140,597.3714285991613,492.9994710674293,718.7572553043697
141,597.5271690236465,494.4900277552809,718.6813642614766
142,597.2293349483197,493.0895135093153,718.2017343597597
143,596.9139627220414,493.2888117923375,721.0238432213047
144,596.9031518595986,491.935402677423,720.5202156209183
145,597.0479575468617,490.8559174729418,720.3718417923566
146,597.2572978004009,491.36043795736504,718.2563785814165
147,597.7088280667388,492.82786931853076,720.9744728519715
148,597.7217736883267,490.9958091928335,720.5343925429662
149,598.0701462085701,491.83322887387834,724.9413379261647
150,598.0390706337021,490.74559557562077,724.4156493257924
151,598.2838543089049,490.1089280545614,730.8515869276051
152,598.2995998473931,492.9070735511818,731.8597129800781
153,598.3643166788041,492.6602498299725,730.5106599046832
154,598.845826632013,491.71660915569953,731.5888951669674
155,598.7376131186254,492.53653302323073,729.0454317092618
156,599.0411385050198,492.0276466182081,730.2758212626014
157,599.0774059965711,492.03821660563204,728.7472989548127
158,599.091613582263,491.0371848911353,728.4639892160835
159,599.2209048567744,489.4552604397445,726.9664536812045
160,599.2239781501983,489.3092035722313,726.4358364597963
161,599.7912720266344,488.90174219644615,728.6502021974311
162,600.0936495912547,489.68912358926735,728.8217560498769
163,600.4585097882475,490.9392253770134,728.9542036860255
164,600.4865343532211,491.1155167952652,728.5427013169237
165,600.7582373202857,489.2668517632772,732.853025575731
166,600.8192331923796,491.7714937677483,732.180915689053
167,600.936144482071,489.6582778868998,732.8709427881423
168,600.7961986046998,491.07049603706804,731.3574818333932
169,600.7772169510768,488.5018393604832,729.8793819888174
170,600.8579457325978,487.9437015982345,729.8540584483184
171,600.8645155290955,487.11638969461444,730.3946373145108
172,600.8994611551113,486.8585432896724,730.5664218812924
173,600.745451862422,487.09685359013855,727.0064468544329
174,600.4584056258752,489.2423024297959,725.7019090243394
175,600.5254840395959,487.1065945576996,725.9582927258555
176,600.9673110258951,488.28773189554215,727.7755041343243
177,600.8428248160031,486.9562099310262,726.8056096320875
178,600.8485723499186,487.52010518507797,724.0875514700905
179,601.1200788473749,487.25899408766446,726.6163711812903
180,601.2232214203393,487.1229010907425,726.9506719104149
181,601.6381228172661,489.1494602666908,727.3309441084184
182,601.4744206469321,487.28330168910014,726.803283452264
183,601.5317319068836,487.01048260210456,727.7116205070672
184,601.885212535317,487.3033211917254,730.4717855717132
185,602.2317549383226,486.5544891253944,728.7084413894455
186,601.9961405972921,485.4708466851397,731.5753721257786
187,602.0060667065886,489.1045054040947,732.3757190651329
188,602.1404217822973,488.49817822658645,731.8057916732995
189,602.1711368426811,487.6987499401966,730.2468818160444
190,602.4381163245084,485.63978629885463,728.5059617356003
191,602.5127338687297,485.9145911861235,731.8789216272544
192,602.7507075824778,485.34330158361416,736.9440279632665
193,602.7444090556046,485.34351032542014,736.2533941000459
194,602.7440782613962,485.15310186958965,736.0408015337896
195,602.7800344790895,486.0769655133245,738.294111026622
